post_id,post_text,post_url,time,likes,shares,comments
1.06521E+15,"THÁNG MỚI CÙNG ĐỌC LẠI LUẬT CHƠI CỦA MĂM MĂM SÀI GÒN
(Đọc kĩ trước khi post bài review từ hôm nay)

Xin chào cả nhà iu Măm Măm Sài Gòn😍

Bắt đầu từ hôm nay, khi Sài Gòn đã dần ổn định trong thời điểm “bình thường mới”, mình và đội ngũ admin/mod của Măm Măm Sài Gòn rất mong sẽ nhận trở lại những review thật, review có tâm về các địa điểm ăn uống chứ không phải là những bài viết PR quán, khiến group trở thành một nơi không hề đáng tin cậy <3

Chúng mình mong rằng MMSG sẽ là nơi nhận được thật nhiều review thực tế, để tạo ra thương hiệu review của MMSG ""đến là phải ngon"", vậy nên mình sẽ thông báo lại một lần nữa về luật chơi của group nhé🥰

Các bạn member review chú ý, nếu không tuân thủ theo luật group, chúng mình sẽ không duyệt bài nha. Cụ thể như sau:

1. KHUYẾN KHÍCH:
- Đăng review kèm hình ảnh review-er chụp checkin với món ăn hoặc quán ăn, mình mong muốn sẽ tạo được chuỗi review người thật, việc thật, hạn chế tối đa những review PR, seeding review hay copy paste review từ cộng đồng này sang cộng đồng khác.
- Những review có hình checkin tại quán sẽ được duyệt nhanh hơn và tham gia các contest nhận quà mỗi tháng của MMSG.

2. TRONG BÀI REVIEW CẦN CÓ ĐỦ 5 TIÊU CHÍ
- 5 tiêu chí này sẽ được đánh giá cuối post review, nếu không đủ 5 tiêu chí này thì thời gian đầu tụi mình sẽ duyệt và nhắc nhở, nhưng nếu không sửa và cố tình phớt lờ 5 tiêu chí này thì chúng mình buộc phải xóa bài review, cụ thể 5 tiêu chí:
- Món ăn có ngon không
- Thái độ phục vụ
- Độ vệ sinh
- Về concept quán/không gian quán
- Về giá cả món ăn

Mỗi cá nhân sẽ có một cách chấm điểm khác nhau theo trải nghiệm riêng của từng bạn. Vậy nên, mọi người hãy đánh giá theo cảm nhận của riêng mình nhé 😘

Có thể có những thang điểm khác nhau về cùng 1 quán ăn, các bạn có thể thấy quán đó ngon nhưng người khác có thể không. Nên đừng vì điểm số mà tranh cãi nhau nhé cả nhà iuu 💞

Toàn bộ được tính bằng thang điểm 10/10, Tổng điểm 5 mục là 50
=> Nếu đạt 38-41 điểm: Có thể thử MĂM
=> Nếu đạt 42-45 điểm: đáng MĂM
=> Nếu đạt trên 45 điểm: Nhất định phải MĂM
Và nếu tiêu chí Thái độ phục vụ và Độ vệ sinh dưới 5 điểm thì quán đó KHÔNG NÊN ĐẾN MĂM

Review của các bạn càng hấp dẫn thì càng có độ tin cậy, các review nào chất lượng sẽ nhận được quà bất ngờ nhé!

VD: QUÁN ĂN XYZ
Một ngày mưa gió bão bùng tình cờ ghé quán XYZ ăn pla pla pla, mình đã thử món plaplapla,...

Đánh giá của mình về quán:
- Món ăn: 10/10 (không có gì phải chê)
- Thái độ phục vụ: 8/10 (đợi hơi lâu một xíi)
- Độ vệ sinh: 9/10 (dọn bàn chưa sạch lắm)
- Về concept quán: 10/10 (quán lề đường như vậy khá ok luôn)
- Về giá cả món ăn: 10/10 (hợp với mấy đứa nghèo khỉ giống mình)
=> 47 điểm: NHẤT ĐỊNH PHẢI MĂMMM

#MMSG

Hy vọng các bạn sẽ chung tay tạo nên một cộng đồng ăn uống thật, đi đúng hướng với câu: ""Nếu không biết ăn gì hôm nay, hãy vào ngay Măm Măm Sài Gòn""

Cảm ơn cả nhà!
From admin with love! <3",https://m.facebook.com/groups/YAN.MMSG/permalink/1065209460894818/,2021-11-01 11:20:35,92,0,19
8.03429E+14,"Quán BÁNH CANH CHẢ CÁ PHAN RANG NGON XUẤT SẮC có tên (HIỀN CÂY QUÉO)

📍 Địa chỉ : HẺM 269/5 Phan Xích Long, Phường 2, Quận Phú Nhuận (chú thích: Đầu hẻm là trường Kinh Tế Đối Ngoại “ QUÁN THỨ 2 “ )
⏰ Giờ mở cửa : 07:00 AM - 22:00 PM

💰 Giá : 18k - 55k

—————————————————————

Chuyện là hôm qua mình lướt lướt group để tìm món Bánh Canh Bột Gạo, thì tình cờ thấy bài review của chị kia về quán ăn ( nhìn khá ngon ) quán ăn tên HIỀN CÂY QUÉO ” tên quán mới nghe là thấy Độc và Lạ rồi“ quán ăn chuyên về món Bánh Canh Chả Cá Phan Rang (Đặc Sản Phan Rang) lun nha quý vị 😋Quán cũng đã bán được hơn 10 Năm rồi đó quý vị .
Trưa nay mình đã cùng bạn mình tìm đến quán và dùng thử. Tìm được hẻm quán cũng dễ, nhưng mình xém vào nhầm quán nếu không có được sự chú ý đặc biệt của tên quán ( HIỀN CÂY QUÉO ). Vào quán nhìn sơ thì quán ăn rất sạch và gọn gàng sau đó vào bàn ngồi, mình và bạn mình xem qua MENU thì mình thấy menu quán đa dạng và nhiều món ngon Đặc Sản ngon miệng, hết chịu được liền gọi ngay 2 tô Bánh Canh Chả Cá Cá Dầm và Bún Chả Cá Sứa kèm theo là 1 Tô Gỏi Sứa nha cô ( hình ảnh mình ăn kèm theo dưới nhưng mình chụp hơi xấu 🤣). Cô chủ làm xong đem thì mình thấy tô bánh canh và tô bún nghi ngút khói nhìm mà thèm 😋,mình liền dùng ngay không đợi được nữa và tích tắc tích tắc hết sạch vì Đồ Ăn Quá Ngon đó quý vị ạ 🤣🤣🤣
Ngon ở: Nước lèo ngọt thanh từ xương
Ngon ở: Miếng chả cá Phan Rang
Ngon ở: Cọng bánh canh
Ngon ở: Miếng cá thu ngừ dầm
Ngon ở: Miếng sứa giòn rụm ở Nha Trang
‘’ TÓM LẠI LÀ RẤT RẤT NGON ‘’ các bạn nên trải nghiệm thử mới biết độ ngon như thế nào nha.

🔴 Đánh giá :
- Đồ ăn : 8/10
- Không gian : 7/10
-Vệ sinh: 9/10
- Giá : 9/10
-Phục vụ: 10/10
Tổng điểm: 43/50đ

P/s: Mong add duyệt bài giúp mình nhaaa😍

#MamMamSaiGon #MMSG #BanhCanhChaCaPhanRang
#Hem269PhanXichLong #PhuNhuan",https://m.facebook.com/groups/YAN.MMSG/permalink/803428563739577/,2020-10-03 00:06:26,18,8,12
1.13904E+15,"Hôm nay ngày cuối áp dụng ưu đãi bên Dookki Phú Nhuận nè, set kèo với hội bạn liền thoi Thợ Săn Sài Gòn! uiii 😍

#via #ThosanSG",https://m.facebook.com/groups/thosansaigon/permalink/1006417106897836/,2022-02-25 15:03:44,16,0,10
1.13766E+15,"MỘT ĐỊA ĐIỂM BEEF STEAK, MỲ Ý SANG CHẢNH GIÁ HỌC SINH, SINH ZIÊN CHO CÁC BẠN TRẺ NÈ
_____________
Đó chính là King Beef
Địa chỉ: 495 Phan Văn Trị Quận Gò Vấp
⏰10:00 - 22:00
______________
Một điểm cộng to bự đầu tiên cho quán không gian bên này không phải nói chứ to rộng, decor thì xing xẻo. Nhân viên nhiệt tình, thân thiện lắm nha. Quả thiệt là giá tầm trung thôi nên phù hợp cho các bạn sinh viên học sinh nè.

Các món tui recommend cho mọi người nè đảm bảo ngon nhức cái nách lun nho.
- Mỳ Ý Bò Bằm: Chòi đất ơi em này ở đây ngon xuất sắc lun mụi người. Mình hơi bị ưng cái bụng với mì ý ở đây bò bằm mềm ta trong miệng, sốt béo béo đậm đà ăn cuốn lắm lun mà chỉ có 89 cành thui.
- Tiếp đến là em Steak sốt nấm nha: Em này nhỉnh hơn mụt tẹo là 159 cành. Nhưng ăn siu đáng đồng tiền à nghen. Thịt bò mình thích ăn kiẻu medium rare á mà quán làm đúng ý mình lun mềm mềm tan, mà miếng bò ở đây chất lượng lắm dày cui nha. Chời oii xuất sắc bà con ơi. Ưng nhất khúc chấm với sốt nấm béo béo thơm thơm ta nói nó tuyệt dời lun á. Một phần steak có kèm rau củ lun nha cạ nhà.
- Mình có kiu thêm một em salad bò nướng ( giá cute lắm mng à 39 cành thui): mng nên kêu thêm ẻm để mlem cho cân bằng lại vị nhó.
- Còn về nước thì mình thích uống Ocean Bule hoặc King Fresh nho ta nói vị nó ngon thanh mát ăn bò xong uống hai ẻm là hơi bị đỉnh đóa. Còn hong mng có thể order rượu vang ở đây nha.
___________________

Đánh giá của tui:
Thái độ phục vụ : 10/10 (Các bạn nhân viên phục vụ siêu chu đáo lun nha)
Vệ sinh : 10/10
Không gian : 9/10
Đồ ăn : 10/10
Giá cả : 9/10
Tổng: 48/50 => PHẢI “MĂM MĂM” liền nha
_______
Ghé Măm Măm Sài Gòn để biết thêm quán ăn mlem nha
#mammamsaigon",https://m.facebook.com/groups/YAN.MMSG/permalink/1137658573649906/,2022-02-23 11:25:53,741,296,251
1.13657E+15,"KEM AEON VỪA NGON VỪA RẺE 🍦🍦

📍 Aeon Mall Tân Phú
💸 8k ++

Mọi người hay ăn sushi, đồ chiên, đồ vặt trong đây rồi vậy mọi người bữa nào ăn thử kem nhaa. Kem ly 12 xu đủ vị, riêng kem cây chỉ 8 xu thôii

Bên cạnh có dãy bàn ghế trống, đi shopping mỏi chân tấp lẹ vô mua ly kem, ngồi nghỉ mệt ăn thì còn gì bằng nữa 🤣 Lần nào vô đây gia đình mình cũng mỗi người quất 1 ly
#mammamsaigon #mammamtanphu",https://m.facebook.com/groups/YAN.MMSG/permalink/1136573370425093/,2022-02-21 21:02:22,68,3,12
1.1365E+15,"Cho tui xin những cánh tay đồng môn ạ =))))

#MammamSG",https://m.facebook.com/groups/YAN.MMSG/permalink/1136499113765852/,2022-02-21 18:44:40,474,43,598
1.13841E+15,"Bún Tôm Rạm Mỹ Hạnh
Vừa lạ vừa quen gây thương gây nhớ
—
Sài gòn luôn là nơi hội tụ đặc sắc ẩm thực của mọi miền đất nước. Và ở sài gòn có tận 7749 loại bún: bún bò, bún riêu, bún thịt nướng, ... nhưng có loại bún nếu chưa thử qua thì chưa phải gọi là dân Sài Gòn đâu nhen. Bún Tôm- Bún Rạm Mỹ Hạnh ngay quận Bình Thạnh phải ghé thử một lần đi mấy bạn ơi.

Bún Tôm đặc biệt bao gồm tôm, bò, mực, chả cá vị chua chua ngọt thanh hải sản tươi mát. Bún Rạm thì khác biệt hơn bao gồm chả cá, chả cốm và chén súp rạm siêu chất lượng nhé. Vì số lượng rạm khá nhiều nên nước dùng ngọt dịu thơm mùi gạch rạm, khi ăn sẽ chế nước rạm vào tô từng chút ăn đến đâu chế đến đó là ngon nhất. Một hương vị đặc biệt khiến ai cũng phải trầm trồ khi được thưởng thức nha. Neo recommend bạn nên thử món này gấp nè.

Rạm với chả cốm ngon quá đành kêu hẳn thêm 1 tô ăn cho đã cái nư. Ăn cùng nước mắm độc quyền của quán là ngon bá cháy. Tóm lại đây là một quán bún độc đáo mà bạn cần lưu lại trong danh sách nha.
—
BÚN TÔM RẠM MỸ HẠNH
▫️151 Nguyễn Văn Đậu, P.5, Bình Thạnh
▫️7:00 - 13:30/16:00 - 21:00 ▫️ShopeeFood/Baemin
—
👉 Thái độ phục vụ : 10/10 (thân thiện)
👉 Vệ sinh : 9,5/10 (sạch sẽ)
👉 Không gian : 10/10 (thoáng mát)
👉 Đồ ăn : 9/10 (lạ mà ngon)
👉 Giá cả : 8/10 (giá nhỉnh xíu)
Tổng: 46.5 => Đáng măm và trải nghiệm nha mọi người

#MMSG",https://m.facebook.com/groups/YAN.MMSG/permalink/1138413760241054/,2022-02-24 15:44:30,994,21,50
1.13543E+15,"TOP 10 QUÁN CÀ PHÊ MỚI MỞ NHẤT ĐỊNH PHẢI LÊN KÈO ĐI NGAY 😎

1/ Solasta 2
🏡 74/1A, Nguyễn Cừ, Thảo Điền, Quận 2

2/ Hút Coffee
🏡 206 Sư Vạn Hạnh, Phường 2, Quận 10

3/ Infinity Coffee
🏡 69/2/10 Nguyễn Gia Trí , Phường 25, Quận Bình Thạnh

4/ Sahra Coffee & Nails
🏡 299 Tô Hiến Thành, Quận 10

5/ Sori Cafe & More
🏡 20 Tú Xương, Quận 3

6/ Katinat Saigon Kafe
🏡 533 Nguyễn Tri Phương, Phường 8, Quận 10

7/ This & That Cafe
🏡 59 Phạm Viết Chánh, Quận 1

8/ Coma Coffee 2
🏡 74B Lê Lợi, Phường Bến Thành, Quận 1

9/ The Heirs - Coffee & Bar
🏡 151-153 Nguyễn Thị Nhỏ, Quận Tân Bình

10/ Bơ by Butterman
🏡 166/41A Thích Quảng Đức, Phường 4, Quận Phú Nhuận

join Phê Sài Gòn để biết thêm nhiều quán mới nhé !!

#mammamsaigon",https://m.facebook.com/groups/YAN.MMSG/permalink/1135426730539757/,2022-02-19 23:35:08,94,54,23
1.13903E+15,"AI CÒN NHỚ THỨ NÀY CHẮC LỚN HẾT RỒI

Mng còn nhớ đây là gì hemmm. Ngày xưa cứ ra chơi là tui hay ra trước cổng trường m.ua ăn vặt cực. Biết nó ngon vậy thui chứ không biết tên á mng. Giờ mới biết ẻm tên là cá bò :3
Nhìn cái ký ức tuổi thơ quay về là phải chốt đơn 10 bịch liền ><

Mng m.ua thì ở đây nha: https://gdl.vn/E5IQaB

#mmsg",https://m.facebook.com/groups/YAN.MMSG/permalink/1139032106845886/,2022-02-25 14:31:08,32,1,17
1.13861E+15,"MỘT TỌA ĐỘ ĂN VẶT ĐÚNG CHẤT PHAN RANG NỔI TIẾNG 10 NĂM Ở GÒ VẤP
________
Quán ăn vặt Nhi Nhi Quán
Địa chỉ: 164 Đường số 20, P.5, Gò Vấp, HCM ( trước là chỗ Lê Thị Hồng á mng)
: 𝟷𝟻:𝟹𝟶 - 𝟸𝟸:𝟹𝟶
________
Quán đang có chương trình 𝐆𝐈Ả𝐌 𝐍𝐆𝐀𝐘 𝟏𝟎% khi khách ghé quán vào khung giờ 𝟏𝟓𝐡-𝟏𝟖𝐡 từ thứ 2 đến thứ 6 (Áp dụng đến hết tháng 2.2022) nha nên quẹo lựa nha anh em Gò Vấp ơi.
Ai là Fan cứng của các đồ ăn vặt Phan Rang là ghé đây liền nha cạ nhà. Món nào ở đây cũng ngon hết trơn á mọi người. Mình toàn món đỉnh đỉnh không á nha như cút lộn xào me, mì trộn tóp mỡ, chén trứng nè ( món này ai ăn cũng ghiền hết đó), nem chua Phan Rang ( ship từ Phan Rang vô lun ó mng), Bánh tráng nướng thập cẩm ( món này đặc biệt có 102 là có mắm ruốc á ngon xĩu hơi bị hợp lun), Cá viên chiên mắm tỏi ( em này đậm đà mặn mặn ngọt ngọt ngon lắm mng ạ ), còn em bắp xào nữa u là trời cũng ngon không kém luôn á.
Mà mình mê nhất là món mì trộn tép mỡ với chén trứng á mng. Mì trộn cô làm đậm đà lắm vừa ăn không bị mặn có cả thịt băm với tóp mỡ giòn rụm nữa ( hơi bị đỉnh đó). Chén trứng nướng ở đây được ăn kèm với sốt độc quyền đó nha siu ngon còn có phô mai với tóp mỡ béo béo nữa. Đồ ăn cô tự làm hết á mng nên siu đảm bảo và vệ sinh luôn nè.
À mà quên mất tiu đến đây mng phải thử liền mật nho nha. Cô tự làm lun uống ngọt ngọt thanh mát mà còn tốt có sức khỏe nữa.
________
Đánh giá của tui:
Thái độ phục vụ : 10/10 (Các bạn nhân viên phục vụ siêu chu đáo lun nha)
Vệ sinh : 10/10
Không gian : 9/10
Đồ ăn : 10/10
Giá cả : 9/10
Tổng: 48/50 => Đáng măm và trải nghiệm nha mọi người
_________
Ghé Măm Măm Sài Gòn để biết thêm nhiều điều hay ho nha
#mammamsaigon",https://m.facebook.com/groups/YAN.MMSG/permalink/1138607286888368/,2022-02-24 22:02:06,219,63,91
